Latitude,Longitude,Mean_daily_range,Volume,Supply_air_temperature,Nb_of_people,Relative_humidity,Space_type,Wall_area,Door_area,Partition_area,Roof_area,Window_area,Skylight_area,Spaces,Cooling_load,Heating_load
42,71,9,9903,12,54,46,0,863,34,0,1764,0,0,8,165590,128349
42,71,9,106231,12,330,46,0,1922,22,0,10622,0,0,6,968943,680014
42,71,9,3292,12,21,46,0,480,28,0,675,0,0,5,65318,54110
42,71,9,3941,12,25,46,0,618,40,0,815,0,0,15,78534,65671
42,71,9,32181,12,134,46,0,1176,22,0,4357,0,0,10,400722,289073
42,71,9,29409,12,128,46,0,1191,46,0,4165,0,0,13,381381,278045
42,71,9,1492,12,10,46,0,329,48,0,336,0,0,10,33394,30364
42,71,9,3212,12,21,46,0,508,34,0,675,0,0,10,65325,54746
42,71,9,7105,12,39,46,0,615,42,0,1267,0,0,14,118452,91895
42,71,9,10976,12,53,46,0,689,60,0,1747,0,0,14,161908,122277
42,71,9,24428,12,105,46,0,1015,58,0,3427,0,0,11,315844,230208
42,71,9,3797,12,23,46,0,462,28,0,738,0,0,7,70388,56900
42,71,9,17384,12,78,46,0,841,10,0,2497,0,0,3,231626,171110
42,71,9,2975,12,19,46,0,436,48,0,617,0,0,11,58294,48434
42,71,9,7601,12,42,46,0,677,52,0,1377,0,0,14,128956,100148
42,71,9,6701,12,38,46,0,660,14,0,1242,0,0,5,117501,91520
42,71,9,37954,12,150,46,0,1206,16,0,4830,0,0,3,444410,318614
42,71,9,4232,12,25,46,0,476,29,0,800,0,0,5,75577,60736
42,71,9,8517,12,48,46,0,863,32,0,1562,0,0,7,147920,117856
42,71,9,2545,12,17,46,0,458,30,0,554,0,0,13,53780,45595
42,71,9,12580,12,61,46,0,787,26,0,1976,0,0,6,184036,138724
42,71,9,145747,12,421,46,0,2023,12,0,13521,0,0,3,1232309,854215
42,71,9,2727,12,17,46,0,399,18,0,554,0,0,6,52687,43687
42,71,9,1622,12,11,46,0,355,24,0,364,0,0,6,35592,31594
42,71,9,22983,12,106,46,0,1201,18,0,3420,0,0,7,317908,235260
42,71,9,25640,12,112,46,0,1072,12,0,3616,0,0,3,334705,243294
42,71,9,4297,12,26,46,0,583,12,0,869,0,0,11,83057,67473
42,71,9,3511,12,21,46,0,458,44,0,703,0,0,12,66330,54209
42,71,9,2515,12,17,46,0,460,24,0,543,0,0,6,52514,45099
42,71,9,1779,12,12,46,0,384,18,0,401,0,0,5,38787,34281
42,71,9,48232,12,180,46,0,1322,40,0,5844,0,0,12,534789,380803
42,71,9,2602,12,17,46,0,416,54,0,552,0,0,14,52586,44696
42,71,9,49080,12,180,46,0,1383,40,0,5838,0,0,10,534950,382482
42,71,9,11411,12,57,46,0,760,38,0,1875,0,0,11,173431,131304
42,71,9,3166,12,20,46,0,502,56,0,675,0,0,16,64613,54320
42,71,9,4526,12,26,46,0,507,42,0,864,0,0,9,81404,65275
42,71,9,5680,12,32,46,0,555,24,0,1045,0,0,11,97762,77038
42,71,9,4174,12,25,46,0,510,14,0,812,0,0,4,76994,62149
42,71,9,2087,12,13,46,0,344,36,0,439,0,0,7,42165,35948
42,71,9,36699,12,152,46,0,1284,10,0,4900,0,0,6,451587,324537
42,71,9,1490,12,11,46,0,338,18,0,338,0,0,5,32821,29331
42,71,9,39361,12,162,46,0,1340,21,0,5227,0,0,10,481115,345398
42,71,9,26709,12,114,46,0,1071,20,0,3695,0,0,4,341274,247768
42,71,9,13785,12,67,46,0,872,28,0,2185,0,0,6,203306,153527
42,71,9,7103,12,39,46,0,653,82,0,1309,0,0,19,122098,96667
42,71,9,7380,12,40,46,0,652,50,0,1306,0,0,11,122136,95319
42,71,9,2307,12,16,46,0,438,24,0,505,0,0,6,48677,42143
42,71,9,6663,12,38,46,0,694,48,0,1257,0,0,13,118827,94169
42,71,9,5549,12,32,46,0,568,56,0,1038,0,0,12,97850,77766
42,71,9,7352,12,39,46,0,594,38,0,1268,0,0,9,117892,90939
42,71,9,7123,12,41,46,0,689,30,0,1322,0,0,9,123598,96944
42,71,9,13172,12,62,46,0,759,54,0,2027,0,0,10,187920,141398
42,71,9,2124,12,14,46,0,411,26,0,470,0,0,9,45067,39052
42,71,9,25303,12,108,46,0,1012,8,0,3476,0,0,4,321083,233211
42,71,9,35953,12,142,46,0,1225,54,0,4603,0,0,12,422603,306494
42,71,9,4560,12,28,46,0,572,54,0,914,0,0,15,86814,70229
42,71,9,5877,12,33,46,0,567,50,0,1064,0,0,10,100343,79590
42,71,9,2495,12,17,46,0,468,14,0,542,0,0,5,52254,45037
42,71,9,8075,12,44,46,0,692,18,0,1433,0,0,4,134010,103743
42,71,9,3486,12,22,46,0,516,46,0,722,0,0,10,68799,57162
42,71,9,3490,12,22,46,0,559,24,0,733,0,0,10,70851,58806
42,71,9,4124,12,24,46,0,463,42,0,778,0,0,8,74069,59561
42,71,9,16934,12,82,46,0,960,20,0,2662,0,0,6,247896,183772
42,71,9,1803,12,12,46,0,362,24,0,397,0,0,5,39003,33696
42,71,9,6522,12,35,46,0,577,38,0,1155,0,0,10,108219,84234
42,71,9,7602,12,41,46,0,635,62,0,1336,0,0,15,124921,97212
42,71,9,3884,12,23,46,0,478,30,0,763,0,0,7,71641,58104
42,71,9,737,12,6,46,0,302,27,0,189,0,0,7,19113,19861
42,71,9,10781,12,56,46,0,810,42,0,1819,0,0,10,169802,130305
42,71,9,1858,12,13,46,0,390,24,0,416,0,0,6,40993,35574
42,71,9,4078,12,25,46,0,568,10,0,812,0,0,2,78238,64165
42,71,9,3420,12,21,46,0,491,46,0,704,0,0,10,66822,55398
42,71,9,4935,12,31,46,0,673,32,0,1000,0,0,10,95066,78114
42,71,9,10640,12,56,46,0,789,44,0,1825,0,0,12,169473,129563
42,71,9,121458,12,378,46,0,1990,20,0,12179,0,0,7,1110960,773686
42,71,9,14249,12,70,46,0,864,14,0,2274,0,0,4,212307,158169
42,71,9,2749,12,18,46,0,489,24,0,582,0,0,8,56274,48450
42,71,9,16006,12,75,46,0,853,42,0,2445,0,0,6,225914,167629
42,71,9,1399,12,10,46,0,423,59,0,339,0,0,12,34611,33069
42,71,9,6994,12,38,46,0,622,18,0,1245,0,0,5,116465,90552
42,71,9,2735,12,18,46,0,473,25,0,579,0,0,6,56867,48680
42,71,9,1944,12,13,46,0,375,14,0,424,0,0,4,41568,35487
42,71,9,14333,12,66,46,0,764,52,0,2157,0,0,12,199453,148326
42,71,9,4972,12,30,46,0,589,18,0,972,0,0,6,92684,73616
42,71,9,4925,12,28,46,0,525,36,0,922,0,0,13,86626,68825
42,71,9,4389,12,26,46,0,496,18,0,836,0,0,6,78758,63001
42,71,9,2390,12,16,46,0,489,24,0,526,0,0,6,51220,44841
42,71,9,1786,12,12,46,0,341,28,0,385,0,0,6,37356,32745
42,71,9,221710,12,558,46,0,2260,12,0,17934,0,0,4,1629126,1120861
42,71,9,2391,12,16,46,0,439,44,0,522,0,0,11,50865,43863
42,71,9,8177,12,45,46,0,703,22,0,1453,0,0,7,135677,105116
42,71,9,3989,12,24,46,0,471,40,0,774,0,0,11,72687,58647
42,71,9,4212,12,25,46,0,498,42,0,820,0,0,11,77408,61882
42,71,9,4304,12,25,46,0,509,52,0,840,0,0,12,79262,63481
42,71,9,1759,12,16,46,0,399,22,0,0,0,0,7,20752,18752
42,71,9,5784,12,33,46,0,604,32,0,1092,0,0,10,103110,81165
42,71,9,6404,12,38,46,0,695,24,0,1233,0,0,9,115680,92119
